iDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,NHP_Name,DSLD_Name,MSKCC_Name,NM_Name
DSI000237,Schisandra chinensis,C0696946,,,,Fruit,,Schisandra chinensis,,,
DSI000238,Cynomorium songaricum,C4332917,,,,Stem(s),,Cynomorium songaricum,,,
DSI000239,Cullen corylifolium,C1905151,,,,Fruit | Fruit,,Cullen corylifolium | Psoralea corylifolia,,,
DSI000240,Pseudostellaria heterophylla,C1896747,,,,Tuber,,Pseudostellaria heterophylla,Pseudostellaria heterophylla,,
DSI000241,Santalum album,C1005959,,,,Wood,,Santalum album,,,
DSI000242,Prunus persica,C0330659,,,,Seed(s) | Flowers,,Prunus persica | Amygdalus persica,Peach | peach fiber,,
DSI000243,5-hydroxy-L-tryptophan,C4083155,,,,"Griffonia simplicifolia, Seed | Griffonia simplicifolia, Seed",,5-Hydroxy-L-tryptophan | L-5-Hydroxytryptophan,,,
DSI000244,Arctostaphylos uva-ursi,C4724782,,,,Leaf,,Arctostaphylos uva-ursi,,,
DSI000245,Glucomannan,C0043572,,,,Amorphophallus konjac - tuber | Amorphophallus konjac - tuber,,Glucomannan | Konjac glucomannan,Glucomannan,,
DSI000246,Ilex paraguariensis,C0874159,,,,Leaf,,Ilex paraguariensis,Yerba Mate,,
DSI000247,Phaseolus vulgaris,C0973452,,,,Phaseolus vulgaris - Seed | Seed(s) | Bean,,Phaseolus vulgaris | Phaseolus vulgaris L. | Phaseolus vulgaris var. vulgaris | Phaseolus vulgaris - Graine ,,,
DSI000248,Trichosanthes rosthornii,C2797201,,,,Fruit,,Trichosanthes rosthornii,,,
DSI000249,Aloe,C0002168,,,,Inspissated juice | Inspissated juice,,Aloe socotrina | Aloe | Aloe vulgaris,Aloe,,
DSI000250,Cinchona officinalis,C1641810,,,,Bark,,Cinchona officinalis,,,
DSI000251,Gratiola officinalis,C1504073,,,,Whole plant(s),,Gratiola officinalis,,,
DSI000252,Natrum sulphuricum,,,,,Sodium sulfate,,Natrum sulphuricum,,,
DSI000253,Phosphore,,,,,Phosphorus,,Phosphore,,,
DSI000254,Titanium dioxide,C0076733,,,,Titanium dioxide,,Titanium dioxide,Titanium Dioxide,,
DSI000255,Zinc oxide,C0043491,,,,Zinc oxide | Zinc oxide,,Zinc oxide | Zincum oxydatum | Zinc Oxide,,,
DSI000256,Vitamin K2,C0086605,,,,Menatetrenone,,Vitamin K2,Vitamin K (menaquinone),,
DSI000257,Silver,C0037125,"Colloidal silver consists of silver particles suspended in a liquid. It is often produced by home-made generators. The use of silver medicinals to treat disorders such as epilepsy, gonorrhea, and colds was not uncommon until the mid-20th century. However, silver was replaced by safer therapies in the recent decades. It is not an essential mineral and does not serve any physiological function in the body. It denatures proteins by binding to their reactive groups and can inactivate some enzymes by forming hemisilver sulfides with sulfhydryl groups of the enzymes . A small study did not find any benefits of a colloidal silver nasal spray in improving recalcitrant chronic rhinosinusitis . Whereas silver compounds are still used in external preparations as antiseptics, there has been a growing interest in using the colloidal form, orally, as an alternative medicine. In vitro studies indicate antitumor effects , but no human data support the use of oral colloidal silver. Despite lack of evidence, it is being promoted as a cure for AIDS, cancer, and diabetes. Long term use can cause silver deposition in the skin and mucous membranes leading to an irreversible condition called argyria, characterized by bluish-gray to gray-black pigmentation . Other adverse effects include seizures . Pregnant women should not consume colloidal silver as it can cause developmental abnormalities in the fetus . The U.S. Food and Drug Administration has warned companies marketing products, including colloidal silver, with false claims of preventing or treating the coronavirus disease COVID-19 .",,"Silver is unstable in suspension form and can bind to proteins. Silver compounds form hemisilver sulfides with sulfhydryl groups that leads to inactivation of enzymes. Silver also has the ability to bind amino, carboxyl, phosphate and imidazole groups (1). Studies have shown that silver accumulates in rat liver and binds with various tissues and basal membranes. It also affects the activities of lactate dehydrogenase and glutathione peroxidase and the peroxidation of membrane lipids (4).",Colloidal silver,Silver Proteins | Colloidal Silver Proteins | Colloidal Silver Water,Silver,Colloidal Silver | Candurin Silver | Silver Fir | Silver | Silver Ear Fungus | Silver (usp),Colloidal Silver,
DSI000258,Taurine,C0039350,"Taurine is a free amino sulfonic acid found in many tissues of mammals. In the bile, it conjugates with cholesterol to form soluble acids to facilitate excretion. Taurine also plays an important role in the functioning of cardiovascular, skeletal muscle, and nervous systems. Meat, seafood, and dairy products are rich sources, but it can also be synthesized in the body from cysteine . Vegetarians may have lower plasma levels of taurine due to reduced intake of meats . Taurine is marketed as a dietary supplement and is also a major ingredient in many energy drinks.In preclinical studies, taurine demonstrated neuroprotective effects , reduced diabetic-induced nephropathy , and improved glycemic control . Chronic taurine administration reversed muscle dysfunction and atrophy and decreased oxidative stress , and maternal taurine ingestion conferred protection against offspring developing adult hypertension .In humans, consumption of taurine-rich foods has been associated with lower cardiovascular risk . Evidence on whether taurine can improve exercise performance are mixed , and although taurine increased skeletal muscle in rodents, these results have not been duplicated in humans .A few studies in overweight or obese patients suggest taurine may reduce triglycerides and improve lipid metabolism , increase adiponectin levels, and decrease inflammation and lipid peroxidation . However, long-term supplementation did not affect insulin response or blood glucose levels in patients with type 2 diabetes . Other studies suggest potential decreases in blood pressure and benefit in older patients with congestive heart failure . It may also help manage muscle cramps in patients with chronic liver disease , prevent delirium following liver transplantation , improve cognitive function in dementia patients , and reduce stroke-like episodes in patients with a rare genetic disorder . Acamprosate, a taurine derivative, improved total abstinence and reduced heavy drinking in adults with alcohol use disorders . Other preliminary data suggest taurine co-administration reduced chemotherapy-induced nausea and vomiting in acute lymphoblastic leukemia , but more studies are needed.Taurine has been associated with some adverse effects in animal models including increased infection risk , delayed learning and memory , and when coadministered with ethanol, drastic reductions in blood glucose resulting in death . In humans, adverse reactions have been reported from excessive ingestion of energy drinks with taurine and caffeine, and in combination with alcohol .",,"Taurine can be synthesized in the body by cysteine sulfinic acid decarboxylase (1). It circulates in free form and is not incorporated into proteins. Taurine binds with cholesterol to form bile acid and protects the liver from alcohol-induced steatosis and lipid peroxidation (29). With respect to skeletal muscle, taurine facilitates Ca2+ dependent excitation–contraction processes, helps regulate cellular volume, and assists in antioxidant defense from stress responses (16). It also serves as a neurotransmitter (35) and crosses the blood-brain barrier by transporters (36). Taurine reduces glutamate excitotoxicity through regulation of calcium ions and mitochondrial energy metabolism (37). Its anti-apoptotic function is due to its inhibition of glutamate-induced membrane depolarization (38).In animal models, taurine reduced hyperglycemia and dyslipidemia by improving insulin sensitivity and leptin modulation (8). It also protected mitochondria of pancreatic islets from malnourishment damage (30). Renoprotective effects were attributed to decreases in proinflammatory cytokines and renal oxidative stress (31). It also inhibited glucose-induced apoptosis in vascular endothelial cells (32), and advanced glycation end products and fibrotic activity to prevent diabetic nephropathy (7).In humans, taurine protected against atherosclerotic disease by reversing endothelial abnormalities (33), and reduced blood pressure by decreasing the levels of plasma epinephrine (20). It also upregulated hydrogen sulfide-synthesizing enzyme expression and reduced vascular reactivity via inhibition of transient receptor potential channel subtype 3-mediated calcium influx (43).","Meat and seafood, especially dark meat poultry, sardines, and shellfish; dairy products (28)",2-Aminoethanesulfonic acid | L-taurine | Tauric acid,Taurine | L-taurine | 2-Aminoethylsulfonic acid | L-Taurine,carbobenzoxy beta-alanyl-taurine | L-Taurine | Taurine,Taurine,
DSI000259,Whey Protein Concentrates,C0078479,,,,Bos taurus (milk) | Whey | Bos taurus (milk) | Bovine milk | Goat milk,,Whey Protein Concentrate | Whey | Whey protein | Undenatured whey protein fraction | Reduced minerals whey,Whey Protein | Whey | Whey protin,,
DSI000260,blazein,C2607722,,,,Fruiting body,,Agaricus blazei,Agaricus blazei,,
DSI000261,Royal jelly,C0073603,"Royal jelly is a viscous substance secreted by worker bees and constitutes the essential food for queen bees and their larvae. It is consumed as a health food around the world. Preclinical studies suggest vasodilatory, hypotensive, antihypercholesterolemic, anti-inflammatory, and estrogenic effects , although its affinity for estrogen receptors is weaker compared with diethylstilbestrol . Royal jelly appeared to increase cytotoxic activity of temozolomide , but has also shown both inhibitory and proliferative effects. Animal studies suggest it may be helpful for colitis or to improve testosterone levels . Studies in humans are limited. Some suggest improved total serum lipid and cholesterol levels in those with moderately elevated levels , and improved erythropoiesis and glucose tolerance in healthy subjects . Other data suggest it may improve type 2 diabetes or cardiometabolic markers , but a meta-analysis determined that supplementation does not improve glucose levels , and quality of evidence is generally low . A combination supplement that contained royal jelly appeared to benefit patients with mild cognitive impairment . Other studies suggest that royal jelly supplementation may improve premenstrual and menopausal symptoms. It may also help preserve bone mineral density in postmenopausal women . Only a few studies have been conducted in cancer patients. Royal jelly swished, then swallowed, along with standard mouthwash therapy improved symptoms of oral mucositis and healing time in patients receiving radiotherapy and chemotherapy . Another small study suggests benefit with topical royal jelly ointment in head and neck cancer patients . Because royal jelly has estrogenic effects , women with estrogen receptor-positive breast cancer should avoid this product. Prostate cancer patients should also use caution as royal jelly increased testosterone levels in animal studies .",,"In animal models, anti-inflammatory effects with royal jelly were likely mediated by CD3-, CD5-, CD8- and CD45-positive T-cell immune responses (22). Protective effects against taxol-induced testicular damage were attributed to improved antioxidant status and E2f1 transcription factor upregulation (31).
Various mechanisms for cholesterol-lowering effects have been posited (5). Royal jelly may decrease reabsorption of cholesterol in the GI tract and increase its excretion in the bile due to the presence of phytosterols, mainly B-sitosterol. Another explanation offered is that royal jelly suppresses hepatic cholesterol synthesis (8).
Effects against oxidative stress are attributed to antioxidant peptides (24). Improved glucose tolerance and erythropoiesis occur from accelerated conversion of DHEA-S to testosterone via activation of 3β-HSD2 and/or 17β-HSD3 (32). In type 2 diabetic women, royal jelly supplementation reduced hemoglobin A1c and fasting blood glucose levels, increased insulin concentrations, and decreased oxidative stress via improvement of malondialdehyde levels, erythrocyte superoxide dismutase, and glutathione peroxidase activities (23).
Compounds identified in royal jelly exhibit weak estrogenic activity, but also inhibit binding of estradiol to estrogen receptor beta (4).
Major royal jelly protein 3 was identified as the main allergen that can induce anaphylaxis and cross-reactivity with honeycomb (37).",Apis mellifera - secretion | Apis mellifera - secretion,Bee Saliva | Bee Spit | Honey Bee Milk | Royal Bee Jelly,Royal jelly | Royal Jelly extract,Royal Jelly,Royal Jelly,
DSI000262,Aminoacetic acid,C0017890,,,,Glycine | Soy beans | Glycine | Acetic acid,,Aminoacetic acid | L-Glycine | Glycine Soja | Aminoethanoic acid | Glycine,Glycine,,
DSI000263,Avens,C0996779,,,,,,Avens,Avens | Purple Avens,,
DSI000264,Lepidium meyenii,C3864846,,,,Root,,Lepidium meyenii,,,
DSI000265,Fructose,C0016745,,,,Isomaltulose | Zea mays,,D-Fructose | 6-O-alpha-D-Glucopyranosyl-D-fructose | Fructose,Fructose,,
DSI000266,Maltodextrin,C0065601,,,,Maltodextrin,,Maltodextrin,Digestion resistant Maltodextrin | Maltodextrin,,
DSI000267,Coffea,C0085952,,,,"Seed(s) | Ripe, dried, unroasted seed with the seed coat largely removed",,Coffea Arabica | Coffea,,,
DSI000268,Lycopene,C0065331,"A natural pigment synthesized by plants and microorganisms, lycopene is used primarily as an antioxidant and to prevent and treat cancer, heart disease, and macular degeneration. Lycopene is classified as a non-provitamin A carotenoid, with other examples being lutein and zeaxanthin. Alpha-carotene, beta-carotene, and beta-cryptoxanthin are classified as provitamin A carotenoids because they can be converted into retinol. Small clinical trials suggest possible benefit against exercise-induced asthma and benign prostatic hyperplasia . However, no optimal dosage has been established. Data from observational studies indicate an inverse association of lycopene consumption with risk of developing cardiovascular disease , with a randomized study reporting endothelial function improvements in CVD patients but not healthy volunteers . Epidemiologic studies suggest an inverse relationship between lycopene consumption and cancer risk , particularly lung , stomach , prostate , and hormone-positive breast cancers . A consistent association between lycopene consumption and endometrial cancer risk has yet to be reported . Clinical data on lycopene supplementation for prostate cancer prevention remain inconclusive. Whereas low intake of tomato sauce was associated with advanced prostate cancer in patients with low-grade cancer at diagnosis , other studies indicate that lycopene or tomato-based regimens do not prevent prostate cancer , and that circulating carotenoids are not useful dietary intervention targets for prostate cancer prevention . In men with high-grade prostatic intraepithelial neoplasia, a lycopene-rich extract did not confer any benefits , and high doses of lycopene, green tea catechins, and selenium were actually associated with higher prostate cancer incidence . Also, variable results were reported for lycopene supplementation in prostate cancer patients . In other studies, increasing lycopene intake altered serum metabolome of men at risk of prostate cancer by affecting reductions in pyruvate, higher levels of which increase the risk of prostate cancer . Intake of a tomato-soy juice resulted in nonsignificant decreases in prostate-specific antigen slope . Lycopene enhanced docetaxel efficacy against prostate cancer in animal models , and preliminary data in patients with metastatic castrate-resistant prostate cancer also suggest favorable activity with docetaxel plus lycopene . Given these mixed results, more studies are needed to determine whether lycopene has protective effects in prostate cancer. Furthermore, variation in genes related to carotenoid metabolism may also play a role in heterogeneous tissue responses to lycopene . Quality control of lycopene supplements has been an issue of concern. An analysis of six commercially available brands revealed that lycopene content varied from the labeled dosage by as much as 43% .",,"Lycopene is a natural pigment synthesized by plants and microorganisms. Referred to as a nonprovitamin A carotenoid, it is not known to have vitamin A activity. Biological actions include antioxidant activity via singlet oxygen quenching and peroxyl radical scavenging, induction of cell to cell communication, and growth control, although this appears to occur with less efficiency than with beta-carotene (15). Preventive consumption of lycopene attenuated effects of acetaminophen-induced liver injury in a murine model (29).
Proposed mechanisms of cancer-preventive effects include inhibition of cancer growth, induction of differentiation by modulation of cell cycle regulatory proteins, alterations in IGF-1 (16) or VEGF (17) levels, prevention of oxidative DNA damage, and possible enhancement of carcinogen-metabolizing enzymes (18). In human liver adenocarcinoma cells, antimetastatic activity was attributed to downregulation of NADPH oxidase 4, which produces ROS (30).
Other possible mechanisms for all carotenoids include immune enhancement as well as inhibition of mutagenesis and transformation, and premalignant lesions. Carotenoids are also associated with decreased risk for macular degeneration and cataracts, and some types of cancers and cardiovascular events (19).
Potential synergy of lycopene with docetaxel has been proposed to occur via downregulated IGF-I signaling inhibition and decreased survivin (37).","Lycopene extracted from tomato | Solanum lycopersicum - fruit | Solanum lycopersicum - fruit | Tomatoes, tomato products, watermelon, guava, rose hips, and pink grapefruit (15)",Nonprovitamin A carotenoid,"Lycopene | All-trans-lycopene | psi,psi-Carotene",Lycopene,Lycopene,
DSI000269,conjugated linoleic acid,C0050156,,,,"Conjugated linoleic acid | cis-9,trans-11 Conjugated linoleic acid",,"Conjugated linoleic acid | cis-9,trans-11 Conjugated linoleic acid",,,
DSI000270,Sodium,C3541959,,,,Sodium chloride | Sodium chloride | Mineral | Sodium chloride,,Sodium | Sodium chloride | Sodium-D-aspartate | Sodium Chloride | Sodium Lauryl Ether Sulphate | Sodium Sulphate Anhydrous | Sodium muriaticum,Sodium chloride | Sodium tungstate | Sodium | Sodium Casein Proteinate-starch | Sodium Hydroxide | Sodium biselenite | Sodium ferrocyanide | Sodium Aluminosilicate,,
DSI000271,undaria pinnatifida,C3267307,,,,Whole,,Undaria pinnatifida,,,
DSI000272,"1,4-alpha-D-Glucan glucohydrolase",,,,,Aspergillus niger - Whole,,"1,4-alpha-D-Glucan glucohydrolase",,,
DSI000273,"1,4-(1,3;1,4)-beta-D-Glucan-4-glucanohydrolase",C0007641,,,,Trichoderma longibrachiatum - Whole | Fungus,,"4-(1,3;1,4)-beta-D-Glucan 4-glucanohydrolase | Cellulase",Cellulase,,
DSI000274,4-alpha-D-Glucan glucanohydrolase,,,,,Aspergillus flavus var. oryzae - Whole,,4-alpha-D-Glucan glucanohydrolase,,,
DSI000275,Beta,C0330390,,,,Saccharomyces cerevisiae - whole | Saccharomyces cerevisiae - whole | Marigold flower | Beet root,,"Beta-fructofuranosidase | Beta-aminopropionic acid | Beta-D-Fructofuranosidase | Beta, epsilon-carotene-3,3'-diol | Beta rosa",Beta-Glucanase | Beta microglobulin | Beta vicianoside | Beta Methylphenethylalamine | Beta Glucanase | Beta-Sesquiphellandrene | NeoHecogenin-3-O-Beta-D-Glycopyranoside | 7-Beta-Hydroxy-DHEA,,
DSI000276,diastase,C0002712,,,,Aspergillus flavus var. oryzae - Whole | Aspergillus oryzae | Aspergillus flavus var. oryzae - Whole | Taka-Diastase,,Malt diastase | Diastase | Amylase | Taka-Diastase,Amylase | Amylase (gamma) | Amylase (mixed amylase) | Diastase (unspecified) | Malt Diastase | Taka amylase,,
DSI000277,Protease,C0030940,"Proteolytic enzyme (PE) treatments were first popularized in Germany in the 1960s for inflammation, osteoarthritis, autoimmune diseases, and viral infections. The products usually contain a mixture of pancreatin, papain, bromelain, trypsin, and chymotrypsin. Preclinical studies indicate that PEs have immunomodulatory and tumoricidal properties . Such effects are thought to result from degradation of abnormal immune complexes. In clinical studies, oral administration of PEs to healthy volunteers resulted in immunomodulatory effects . Systemic therapy with PE before and after exhaustive exercise increased maximal concentric strength and had favorable effects on inflammatory, metabolic, and immune biomarkers . In a randomized trial of subjects with moderate-to-severe knee osteoarthritis, oral PE had effectiveness comparable to diclofenac in relieving pain and increasing function . Although some clinical and epidemiological studies suggest benefit with adjuvant PEs in patients with head and neck cancers , multiple myeloma , breast cancer , and cervical cancer , conflicting data do not support the findings . A randomized controlled trial also failed to find sufficient evidence to support use of PEs for preventing mucositis . Further, results from a study involving patients with inoperable pancreatic cancer showed a decrease in overall survival and poorer quality of life with PEs compared with standard gemcitabine-based chemotherapy . Findings from two meta-analyses suggest that PEs may be useful for preventing acute radiation-induced skin reactions , but more studies are needed to confirm such effects.",,"PEs are thought to exert immunomodulatory effects by causing increased release of reactive oxygen species by polymorphonuclear leukocytes (7) or by production of tumor necrosis factor-alpha and interleukins IL-6 and IL-1B that cause cytotoxic effects (1) (2). The anti-angiogenic effects exhibited by papain in VEGF-activated human endothelial cells are concentration-dependent and likely due to interference with AKT, MEK1/2 and SAPK/JNK phosphorylation (15). Bromelain has been shown to lower the tumorigenic/metastatic capacities of sarcoma L-1 cells (3). It also inhibited glioma cell migration and invasion by affecting expression of integrins, necessary for cellular migration and invasion (5). In B16 murine melanoma models, PEs inhibited metastasis by reducing expression of CD44 and CD54 molecules (6).",Aspergillus flavus var. oryzae - Whole | Bacterial protease | Aspergillus oryzae | Serratia marcescens | Fungal protease | Aspergillus flavus var. oryzae - Whole | Aspergillus oryzae | Bacillus subtilis | Fungal protease | Fungal protease | Fungal protease | Pineapple stem is a good source of bromelain. Papain is obtained from the papaya plant and fruits.,"
Cancer
 | 
Treatment-related symptoms
 | 
Hepatitis C
 | 
Immunomodulation
 | 
Inflammation
 | 
Infections
",Protease | Bacterial Protease | Proteinases | Serratia peptidase | Protease 6.0 | Dipeptidyl-peptidase IV | Protease I | Protease II | Peptidase | Protease 3.0 | Protease 4.5,Dipeptidyl peptidase 4 | Proteolytic enzyme (unspecified) | Peptidase | Protease | Proteolytic Enzymes (Proteases),Proteolytic enzymes,
DSI000278,Triacylglycerol lipase,C0023764,,,,Rhizopus oryzae - Whole | Aspergillus niger - Whole | Fungus | Rhizopus oryzae - Whole,,Triacylglycerol lipase | Triacylglycerol acylhydrolase | Lipase | Triglyceride lipase,Lipase,,
DSI000279,Zingiber,C0997233,,,,Rhizome,,Zingiber,,,
DSI000280,beta-D-Galactoside galactohydrolase,C0005220,,,,Aspergillus niger - Whole | Aspergillus flavus var. oryzae - Whole | Aspergillus flavus var. oryzae - Whole,,alpha-D-Galactoside galactohydrolase | beta-galactosidase | beta-D-galactoside galactohydrolase,Beta galactosidase | Beta-galactosidase,,
DSI000281,Butyricum acidum,C0054312,,,,"Fatty acid from butter, oils and vegetable fats | Magnesium dibutyrate | DL-Lactic acid | L-valine",,Butyricum acidum | Butanoic Acid | 2-Hydroxy-2-methylacetic acid | Butanoic acid | L-2-Amino-3-Hydroxy-Butyric Acid | 2-amino-3-methyl butanoic acid,,,
DSI000282,Moringa oleifera,C0949952,"Moringa oleifera (MO) is an edible plant native to Asia and Africa that is also cultivated around the world. The leaves and seed pods are nutritious and widely consumed as food while the bark and root are used in folk remedies for their perceived medicinal properties. Products derived from this botanical are used to treat a variety of conditions including asthma, diabetes, ulcers, infections, and cancer. In addition, the plant extracts are used in primitive water filtration systems to remove pollutants and algae . Preclinical studies suggest various properties with MO leaf, seed, and root extracts, including anticancer , hepatoprotective , hypoglycemic , anti-inflammatory , antibacterial , antifungal , antiviral , and antisickling effects. Models suggest potential to protect against Alzheimer’s disease and digestive ulcers , promote wound healing , and lower cholesterol levels . Studies in humans are quite limited. Preliminary findings suggest MO exerts a small positive effect on lipid profiles . An MO leaf powder increased insulin secretion in healthy subjects , and improved nutritional status and intake of AIDS patients undergoing antiretroviral therapy . Systematic reviews determined potential benefits of MO in cardiovascular or metabolic disorders and also cite the need for well-designed studies in diabetic or prediabetic patients .",,"Moringa is a nutritionally rich botanical with a high polyphenol content, including phenolic acids, flavonoids, and glucosinolates (48). In preclinical studies, fiber content of MO leaves mediated quercetin-3-glucoside to improve glucose tolerance (7) (12). Phenolic glycosides from the fruit show anti-inflammatory effects by inhibiting nitric oxide (13). Dipeptide and urea derivatives from MO roots also have anti-inflammatory and antinociceptive effects (14). The ethanolic seed extract produced immunosuppressive and anti-inflammatory effects by inhibiting leukocytes and splenocytes (15) as well as histamine release from mast cells (16).
In an animal model, MO root extract demonstrated protective effects on the liver and kidney in a dose-dependent manner (22). Hepatoprotective effects from acetaminophen toxicity may occur by maintaining glutathione levels (11). MO extract may protect against stomach ulcers by modulating 5-HT3 receptors (24) and lower cholesterol by inhibiting HMG-CoA reductase (25).
Lab experiments suggest an array of other properties in this botanical. A leaf extract exhibited protective effects against Alzheimer’s disease by modulating brain monoamines (29). It also may help promote wound healing by increasing collagen deposits (30). Anticancer effects may occur via apoptosis (3) (4) and NF-kappaB inhibition (5) (46). In an animal model, an MO extract helped prevent chemically-induced tumor formation by increasing glutathione activity (6).
A moringa water extract showed hormone-modulating properties, stimulation of uterine and cervical epithelium metaplasia (26) (27), and antifertility effects (28). In a murine model, MO was genotoxic at supra-supplementation levels of 3,000 mg/kg body weight (39). In a case report of Stevens-Johnson Syndrome linked to ingestion of moringa, pathogenesis may be related to an immunomodulatory effect such as a delayed Th1-mediated hypersensitivity reaction (49).",Leaf | Moringa leaves are eaten in many parts of the tropics where the trees are found.,Horseradish tree | Drumstick tree | Benzolive tree | Ben oil tree,Moringa oleifera,,Moringa oleifera,
DSI000283,Cucurbita pepo,C0487824,,,,Seed oleoresin | Swolen ovary of flower | Crushed seed | Seed(s),,Cucurbita pepo | Cucurbita pepo var pepo | Cucurbita pepo-semen | Cucurbita pepo var. moschata,,,
DSI000284,Nigella sativa,C1140702,"Nigella sativa is a flowering plant found throughout India, Arabia, and Europe. The seeds, commonly known as black seeds or black cumin, are used in cooking and in traditional medicine to reduce inflammation, as well as to treat infections and cancer.Constituents from N. sativa demonstrated immunomodulatory , antioxidant , antiparasitic and hepatoprotective effects in preclinical studies. Small clinical trials suggest benefits of seed extracts for the treatment of asthma , allergic diseases , rheumatoid arthritis , dyspepsia , H. pylori infection , diabetes , and for ameliorating hepatic steatosis and insulin resistance in patients with nonalcoholic fatty liver disease . Data on anti-hypertensive effects are conflicting . Thymoquinone, a major constituent, conferred antiepileptic effects in children with refractory seizures . Topical use of N. sativa oil reduced cyclical mastalgia , improved urinary incontinence in menopausal women , and both topical and oral use relieved osteoarthritic knee pain, but oral intake of N. sativa seed powder did not have similar benefit . Oral oil use improved metabolic parameters in patients with coronary artery disease and had cardiovascular protective effects in patients with type-2 diabetes .Thymoquinone and other constituents also showed anticancer effects . N. sativa oil, when injected, protected against radiation-induced tissue damage in a murine model . Oral intake of N. sativa seeds lowered the incidence of febrile neutropenia and length of hospital stay in children with brain tumors ; and topical application of an N. sativa gel decreased the severity of acute radiation dermatitis in breast cancer patients . Larger studies are needed to confirm these findings.",,"Thymoquinone, one of the chief constituents of N. sativa oil has antioxidant effects and restored the levels of lactate dehydrogenase, glutathione, and SOD in animal models (6) (7) (9). This may also explain its hepatoprotective effects (3) (4). Studies have also shown that N. sativa oil exerts anti-inflammatory properties by inhibiting cyclooxygenase and lipoxygenase (18). Nigellone, a constituent of the crude seed extract, inhibited histamine release from rat peritoneal mast cells (10) and may reduce allergy symptoms in humans (12). N. sativa also decreased hypertension in rats likely via its diuretic effects (5), and decreased uterine smooth muscle contractions (14).The antioxidant effects of nigella are thought to protect tissues from radiation injury (15). However, it is not clear if this would also make radiation therapy less effective. Possible antitumor mechanisms of thymoquinone include inhibition of DNA synthesis (7), and promotion of apoptosis by inhibiting cell growth in G1 phase (8). A methanol extract of N. sativa exhibited in vitro estrogenic activity following naringinase treatment (30).",Seed(s),Black cumin | Black caraway | Black seed | Kalonji,Nigella sativa,,Nigella sativa,
DSI000285,Alisma plantago-aquatica subsp. orientale,C5729199,,,,Rhizome,,Alisma plantago-aquatica subsp. orientale | Alisma orientale | Alisma orientalis tuber ,,,
DSI000286,Anemarrhena asphodeloides,C1021267,,,,Rhizome | Rhizome | Rhizome,,Anemarrhena asphodeloides | Anemarrhena asphodeloidis | Anemarrhena asphodeloid,,,
DSI000287,Forsythia suspensa,C1060911,,,,Fruit,,Forsythia suspensa,,,
DSI000288,Gardenia jasminoides,C1089114,,,,Gardenia Jasminoides Fruit,,Gardenia jasminoides,Gardenia jasminoides,,
DSI000289,Glycyrrhiza uralensis,C0936179,,,,Rhizome,,Glycyrrhiza uralensis,Chinese Licorice,,
DSI000290,Ligusticum sinense,C1014724,,,,Rhizome | Rhizome | Root | Rhizome | Root and rhizome,,Ligusticum sinense cv. chuanxiong | Ligusticum chuanxiong | Ligusticum sinense | Ligusticum sinense var sinense | Ligusticum chuanxiong Hort | Ligusticum sinense Oliv.,,,
DSI000291,Malva verticillata,C2280707,,,,Malva verticillata - Leaf,,Malva verticillata,,,
DSI000292,Mentha canadensis,C1623960,,,,Herb top | Aerial parts,,Mentha canadensis | Mentha haplocalyx,Mentha haplocalyx,,
DSI000293,Paeonia lactiflora,C1005921,,,,Heartwood,,Paeonia lactiflora,,,
DSI000294,Platycodon grandiflorus,C1135815,,,,Root | Root,,Platycodon grandiflorus | Platycodon grandiflorum,Balloon Flower,,
DSI000295,Rheum officinale,C0035509,,,,Root and Rhizome | Root,,Rheum officinale | Rheum palmatum,Rhapontic rhubarb,,
DSI000296,Saposhnikovia divaricata,C1222598,,,,Root,,Saposhnikovia divaricata,,,
DSI000297,Humulus lupulus,C0330544,,,,Humulus lupulus - Strobile,,Humulus lupulus,,,
DSI000298,Fructooligosaccharides,,,,,Fructooligosaccharides,,Fructooligosaccharides,,,
DSI000299,L-Carnitine,C0087163,,,,L-Carnitine tartrate,,"L-Carnitine | (R)-3-carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt | L-carnitine | Levocarnitine | Propionyl-L-carnitine  | Propionyl-L-carnitine",Acetyl L-Carnitine | Acetyl L-Carnitine Arginate | Glycine propionyl-l-carnitine | L-Carnitine | Propionyl-L-Carnitine,,
DSI000300,2-deoxy-d-glucose,C4049845,,,,Chitin,,"Poly-beta-(1,4)-2-amino-2-deoxy-d-glucose",,,
DSI000301,transgalactooligosaccharides,C3500102,,,,Transgalactooligosaccharides,,Transgalactooligosaccharides,,,
DSI000302,Cadmium iodatum,,,,,Cadmium iodide,,Cadmium iodatum,,,
DSI000303,Epimedium grandiflorum,C0696759,,,,Leaf,,Epimedium grandiflorum,,,
DSI000304,Eurycoma longifolia,C1258070,,,,Root,,Eurycoma longifolia,,,
DSI000305,Mucuna pruriens,C1193630,,,,Seed(s),,Mucuna pruriens,,,
DSI000306,Cadmium metallicum,,,,,Cadmium,,Cadmium metallicum,,,
DSI000307,Calendula officinalis,C0939875,,,,Flower | Flower,,Calendula officinalis | Calendula officinalis L. (Asteraceae) | Marigold Extract,,,
DSI000308,Prunus dulcis,C0330656,,,,Seed(s) | Dried ripe seeds,,Prunus dulcis | Prunus dulcis var amara | Sweet almond seed extract,Sweet Almond,,
