iDISK_ID,Name,CUI,MSKCC_Name,NM_Name
DIS000061,Lymphedema,C0024236,Lymphedema,
DIS000062,Varicose veins,C0042345,Varicose veins,
DIS000063,Allergic rhinitis,C2607914,Allergic rhinitis,
DIS000064,Osteoporosis,C0029456,Osteoporosis,
DIS000065,Alzheimer,C0002395,Alzheimer’s disease,
DIS000066,Cystic fibrosis,C0010674,Cystic fibrosis,
DIS000067,Emphysema,C0013990,Emphysema,
DIS000068,Epilepsy,C0014544,Epilepsy,
DIS000069,Hemophilia,C0019069,Hemophilia,
DIS000070,Herpes,C0854331,Herpes,
DIS000071,Scleroderma,C0011644,Scleroderma,
DIS000072,Glaucoma,C0017601,Glaucoma,
DIS000073,Drug-induced nausea and vomiting,C0267204,Chemo-induced nausea and vomiting,
DIS000074,Sleep Disorders,C0851578,Sleep Disorders,
DIS000075,Mood disorders,C0525045,Mood disorders,
DIS000076,Loss of appetite,C0003123,Loss of appetite | Anorexia | Appetite loss,
DIS000077,Neuropathy,C0442874,Neuropathy,
DIS000078,Pruritus,C5700180,Pruritus,
DIS000079,Insulin resistance,C0021655,Insulin resistance,
DIS000080,Chronic fatigue syndrome,C0015674,Chronic fatigue syndrome,
DIS000081,Male infertility,C0021364,Male infertility,
DIS000082,Bronchitis,C0006277,Bronchitis,
DIS000083,Common cold,C0009443,Common cold,
DIS000084,Lung diseases,C0024115,Lung diseases,
DIS000085,Polycystic ovarian syndrome,C0032460,Polycystic ovarian syndrome,
DIS000086,Infertility,C4074771,Infertility | Infertility in both sexes,
DIS000087,Kidney disease,C0022658,Kidney disease | Kidney Disorders,
DIS000088,Urinary tract infections,C0262655,Urinary tract infections,
DIS000089,Ulcers,C0041582,Ulcers,
DIS000090,Gum disease,C0017563,Gum disease,
DIS000091,gastroesophageal reflux,C0017168,GERD (gastroesophageal reflux),
DIS000092,Sexual dysfunction,C0549622,Sexual dysfunction,
DIS000093,Memory loss,C0002622,Memory loss,
DIS000094,Schizophrenia,C0036341,Schizophrenia,
DIS000095,Retinitis pigmentosa,C0035334,Retinitis pigmentosa,
DIS000096,Autism,C0524528,Autism,
DIS000097,Interstitial cystitis,C0282488,Interstitial cystitis,
DIS000098,flu symptoms,C0948873,Cold and flu symptoms,
DIS000099,Chronic ulcer,C2939127,Chronic ulcers,
DIS000100,Hyperlipidemia,C0020473,Hyperlipidemia,
DIS000101,blood clots,C0302148,Prevent blood clots,
DIS000102,Prostate cancer,C0600139,Prostate cancer,
DIS000103,Tuberculosis,C0041296,Tuberculosis,
DIS000104,Drug withdrawal,C0152128,Drug withdrawal | Drug withdrawal symptoms,
DIS000105,Tinnitus,C0040264,Tinnitus,
DIS000106,Chest congestion,C0242073,Chest congestion,
DIS000107,Temporomandibular joint disorders,C0039494,Temporomandibular joint disorders,
DIS000108,digestive disorders,C0012242,Digestive disorders,
DIS000109,Acne,C0001144,Acne | Acne and other dermatological conditions,
DIS000110,Muscle wasting,C0541794,Muscle wasting,
DIS000111,Phlebitis,C0031542,Phlebitis,
DIS000112,Cognitive disorders,C0009241,Cognitive disorders,
DIS000113,Myasthenia gravis,C0026896,Myasthenia gravis,
DIS000114,Kidney stones,C0392525,Kidney stones,
DIS000115,Blood,C0851353,Blood glucose,
DIS000116,Respiratory infections,C0035243,Respiratory infections,
DIS000117,Cold symptoms,C0863093,Cold symptoms,
DIS000118,Alcoholism,C0001973,Alcoholism,
DIS000119,Sarcopenia,C0872084,Sarcopenia,
DIS000120,Poor vision,C0042798,Poor vision,
DIS000121,flashes,C0542555,Hot flashes,
DIS000122,Stomach,C0153943,Stomach ache | Stomach and blood ailments,
DIS000123,Seasonal affective disorder,C0085159,Seasonal affective disorder,
DIS000124,Autism Spectrum Disorder,C1510586,Insomnia in children with Autism Spectrum Disorder,
DIS000125,Withdrawal,C2825032,Withdrawal symptoms,
DIS000126,Cirrhosis,C0023890,Cirrhosis,
DIS000127,liver damage,C0151763,Drug-induced liver damage,
DIS000128,Chronic lung disease,C0746102,Chronic lung disease,
DIS000129,Benign prostatic hypertrophy,C1704272,Benign prostatic hypertrophy,
DIS000130,Skin cancer,C0007114,Skin cancer prevention,
DIS000131,Heart failure,C0018802,Heart failure,
DIS000132,stomach disorders,C0038354,Stomach disorders,
DIS000133,Benzodiazepine withdrawal,C2062728,Benzodiazepine withdrawal,
DIS000134,Attention-deficit hyperactivity disorder (ADHD),C1263846,Attention-deficit hyperactivity disorder (ADHD),
DIS000135,Dysentery,C0277526,Dysentery,
DIS000136,irritable bowel syndrome (IBS),C0022104,Irritable bowel syndrome (IBS) | Irritable bowel syndrome,
DIS000137,Inflammatory bowel disease,C0021390,Inflammatory bowel disease,
DIS000138,Gastroenteritis,C0017160,Gastroenteritis,
DIS000139,Hepatitis C,C0019196,Hepatitis C,
DIS000140,Tobacco use disorder,C0040336,Tobacco use disorder,
DIS000141,Alcohol use disorder,C0001956,Alcohol use disorder,
DIS000142,Obsessive compulsive disorder,C0600104,Obsessive compulsive disorder,
DIS000143,Skin conditions,C0037274,Skin conditions,
DIS000144,Drug addiction,C1510472,Drug addiction,
DIS000145,myelopathy,C0005956,AIDS-related myelopathy,
DIS000146,Bleeding,C0019080,Bleeding | Stop bleeding,
DIS000147,Kaposi sarcoma,C0036220,Kaposi sarcoma,
DIS000148,Scurvy,C0036474,Scurvy,
DIS000149,Chronic diarrhea,C0401151,Chronic diarrhea,
DIS000150,Anemia,C0002871,Anemia,
DIS000151,Dry skin,C0043345,Dry skin,
DIS000152,Dry mouth,C0043352,Dry mouth,
DIS000153,sore throat,C0031350,Sore throat,
DIS000154,Nephritis,C0027697,Nephritis,
DIS000155,Gum infection,C0744403,Gum infections,
DIS000156,Stomatitis,C0038362,Stomatitis,
DIS000157,Age-related macular degeneration,C0242383,Age-related macular degeneration,
DIS000158,Bacterial infections,C0004623,Bacterial infections,
DIS000159,Laryngitis,C4049282,Laryngitis,
DIS000160,Skin abscesses,C0149777,Skin abscesses,
DIS000161,Syphilis,C0039128,Syphilis,
DIS000162,Cystitis,C0010692,Cystitis,
DIS000163,Rheumatics,C0035435,Rheumatic pain,
DIS000164,Gingivitis,C0017574,Gingivitis,
DIS000165,Muscle spasms,C3887506,Muscle spasms,
DIS000166,Dementia,C0497327,Dementia,
DIS000167,Eye disorders,C0015397,Eye disorders,
DIS000168,deficiency k,C0032827,B12 deficiency,
DIS000169,Autoimmune disorders,C0004364,Autoimmune disorders,
DIS000170,Ulcerative colitis,C0009324,Ulcerative colitis,
DIS000171,climacteric syndrome,C0025319,"Climacteric syndrome including symptoms such as mood, fatigue, depression and insomnia",
