DSI,Relation,D,Source,Interaction Rating,Source_Description
DSI001097,interacts_with,D000013,MSKCC,,
DSI000172,interacts_with,D000031,MSKCC,,
DSI000196,interacts_with,D000011,MSKCC,,
DSI000196,interacts_with,D000032,MSKCC,,
DSI000196,interacts_with,D000033,MSKCC,,
DSI000236,interacts_with,D000034,MSKCC,,Insulin: Bitter melon may have an additive effect when used concomitantly (8) .
DSI000236,interacts_with,D000010,MSKCC,,Hypoglycemics: Bitter melon may have additive effects when used concomitantly (8) (34) .
DSI000236,interacts_with,D000012,MSKCC,,Chemotherapy drugs: In vitro studies suggest bitter melon extracts may increase bioavailability and efficacy of certain chemotherapy agents (35) . Clinical significance has yet to be determined.
DSI000209,interacts_with,D000035,MSKCC,,
DSI000209,interacts_with,D000012,MSKCC,,
DSI000209,interacts_with,D000036,MSKCC,,
DSI007815,interacts_with,D000037,MSKCC,,"Amiodarone: In a murine model, bladder wrack decreased bioavailability of this drug which is used to treat arrhythmias (10) . Clinical relevance is not known."
DSI005068,interacts_with,D000008,MSKCC,,"Cytochrome P450 substrates: Spirulina inhibits CYP 1A2 and 2E1, and may cause accumulation of drugs metabolized by these enzymes, thereby increasing the risk of their side effects (20) . Clinical relevance is not known."
DSI002555,interacts_with,D000038,MSKCC,,
DSI002555,interacts_with,D000011,MSKCC,,
DSI002555,interacts_with,D000033,MSKCC,,
DSI002365,interacts_with,D000039,MSKCC,,"OATP1B3 (an anion transporter): Both 11-keto-beta-boswellic acid (KBA) and 3-acetyl-11-keto-beta-boswellic acid (AKBA) modulated the activity of OATP1B3, in vitro (30) . Clinical relevance is not known."
DSI002365,interacts_with,D000040,MSKCC,,"MRP2 (a multidrug resistant protein): Both 11-keto-beta-boswellic acid (KBA) and 3-acetyl-11-keto-beta-boswellic acid (AKBA) modulated the activity of MRP2, in vitro (30) . Clinical relevance is not known."
DSI002365,interacts_with,D000041,MSKCC,,"P-Glycoprotein (P-Gp): A Boswellia extract and keto-boswellic acids inhibit the activity of P-Glycoprotein in vitro, and may affect the transport of drugs mediated by this protein (31) . Clinical significance has yet to be determined."
DSI002365,interacts_with,D000017,MSKCC,,Anticoagulant and/or antiplatelet drugs : Boswellia extracts can inhibit platelet aggregation and may increase risk of bleeding when used with these drugs (34) . Clinical significance has yet to be determined.
DSI000364,interacts_with,D000042,MSKCC,,
DSI000364,interacts_with,D000011,MSKCC,,
DSI004057,interacts_with,D000043,MSKCC,,
DSI004057,interacts_with,D000044,MSKCC,,
DSI000071,interacts_with,D000045,MSKCC,,Proton Pump Inhibitors: May significantly reduce calcium absorption (62) .
DSI000071,interacts_with,D000046,MSKCC,,"Cardiac glycosides: Calcium may increase risk of cardiac arrhythmia, although this is based on intravenous calcium, early case reports, and animal models (64) ."
DSI000071,interacts_with,D000047,MSKCC,,Quinolones: Calcium may reduce absorption of quinolones (65) .
DSI000071,interacts_with,D000035,MSKCC,,Tamoxifen: Calcium may increase the risk of hypercalcemia (66) .
DSI000071,interacts_with,D000048,MSKCC,,Tetracyclines: Calcium may reduce absorption of tetracyclines (67) .
DSI000071,interacts_with,D000049,MSKCC,,Levothyroxine (to treat hypothyroidism): Taking calcium carbonate within 4 hours of this drug may decrease its absorption by nearly one-third (68) .
DSI000071,interacts_with,D000050,MSKCC,,Estrogen therapy (for osteoporosis; positive interaction): Supplemental calcium and vitamin D may have additive benefits on bone health (28) .
DSI000071,interacts_with,D000051,MSKCC,,"Iron, zinc, or magnesium: Calcium can compete or interfere with their absorption (48) (49) ."
DSI001977,interacts_with,D000008,MSKCC,,"Cytochrome P450 substrates : Smoking cannabis induces CYP1A2, with additive effects when smoked together with tobacco, and can affect the intracellular concentration of drugs metabolized by this enzyme (43)"
DSI001977,interacts_with,D000052,MSKCC,,"Immunotherapy (nivolumab): Combined use with cannabis was associated with a reduction in treatment response rates in patients with advanced melanoma, non-small-cell lung cancer, and renal clear cell carcinoma (observational study) (21) (46)"
DSI001977,interacts_with,D000053,MSKCC,,Warfarin: THC and CBD both elevate international normalized ratio (INR) levels (45) (47) (61)
DSI001977,interacts_with,D000054,MSKCC,,Fluoxetine: Case reports of mania resulting from co-administration of cannabis (48)
DSI001977,interacts_with,D000055,MSKCC,,Disulfiram: Delirium and hypomania resulting from co-administration with cannabis (49) (50)
DSI001977,interacts_with,D000056,MSKCC,,"Amphetamines, cocaine, atropine and sympathomimetic agents : Cardiotoxicity may occur with cannabis via additive hypertension and tachycardia (51) (52)"
DSI001977,interacts_with,D000057,MSKCC,,Sedatives or hypnotics : Sedation and significant pharmacodynamic interactions when taken with cannabis via potentiation of central effects (53)
DSI001977,interacts_with,D000023,MSKCC,,P-glycoprotein substrates : CBD inhibits P-glycoprotein and may influence metabolism of certain drugs (54) . Clinical relevance is not known.
DSI001977,interacts_with,D000058,MSKCC,,Clobazam : CBD increased clobazam levels in epileptic children (55)
DSI001977,interacts_with,D000059,MSKCC,,Buprenorphine: A retrospective study found that cannabis use decreased the formation of norbuprenorphine and elevated buprenorphine and norbuprenorphine levels in liver healthy individuals on opioid maintenance therapy substituted with buprenorphine. This interaction may lead to increased or altered opioid activity and risk of intoxication (66) .
DSI001977,interacts_with,D000060,MSKCC,,Citalopram/Escitalopram: CBD significantly elevated citalopram plasma concentrations in patients taking citalopram or escitalopram. But it is unclear whether this also increased SSRI-mediated adverse effects (70) .
DSI000389,interacts_with,D000061,MSKCC,,ACE inhibitors: Topical capsaicin induced cough in a patient taking ACE inhibitors (33) .
DSI001859,interacts_with,D000053,MSKCC,,
DSI002549,interacts_with,D000041,MSKCC,,
DSI000961,interacts_with,D000016,MSKCC,,
DSI000961,interacts_with,D000062,MSKCC,,
DSI005450,interacts_with,D000021,MSKCC,,"Immunosuppressants (cyclosporin): Concurrent capsaicin should be avoided in transplant patients to minimize risk of kidney or liver toxicities as well as neurotoxicity. In animal models, chronic high-dose capsaicin use increased cyclosporin bioavailability (22) ."
DSI005450,interacts_with,D000016,MSKCC,,Antihypertensives: Capsaicin may affect their actions (21) or increase incidence of cough associated with ACE inhibitors (26) .
DSI005450,interacts_with,D000017,MSKCC,,Antiplatelet drugs: Animal models indicate capsaicin has antiplatelet effects (27) . Clinical relevance has yet to be determined.
DSI005450,interacts_with,D000063,MSKCC,,Theophylline: Animal models indicate that concurrent capsaicin administration may increase absorption (28) . Clinical relevance has yet to be determined.
DSI005450,interacts_with,D000064,MSKCC,,"Oral coadministration of other drugs: Capsaicin causes mucosal vasodilation, and may thereby alter the uptake of other drugs (22) ."
DSI004703,interacts_with,D000011,MSKCC,,"Antiplatelet or anticoagulant drugs: Chaga extract inhibited platelet aggregation in a murine model (2) . It may also have synergistic effects when used with anticoagulant/antiplatelet drugs, but clinical relevance is not known."
DSI004703,interacts_with,D000010,MSKCC,,"Hypoglycemic agents: In vitro, chaga had additive effects in lowering blood sugar levels (15) . Clinical significance is yet unknown."
DSI004236,interacts_with,D000011,MSKCC,,
DSI004236,interacts_with,D000057,MSKCC,,
DSI004236,interacts_with,D000065,MSKCC,,
DSI002944,interacts_with,D000066,MSKCC,,
DSI002944,interacts_with,D000067,MSKCC,,
DSI002944,interacts_with,D000068,MSKCC,,
DSI005225,interacts_with,D000069,MSKCC,,"Antihypertensive medications: Chia supplementation may have additive effects, as the use of chia flour reduced blood pressure in both treated and untreated hypertensive individuals (13) ."
DSI003014,interacts_with,D000053,MSKCC,,
DSI000061,interacts_with,D000030,MSKCC,,
DSI000061,interacts_with,D000049,MSKCC,,
DSI002945,interacts_with,D000008,MSKCC,,
DSI002945,interacts_with,D000041,MSKCC,,
DSI002597,interacts_with,D000070,MSKCC,,"Statins: When taken along with statins, cinnamon has been reported to cause hepatitis (35) ."
DSI002597,interacts_with,D000071,MSKCC,,Pioglitazone: Cinnamon enhanced bioavailability upon concomitant use in preclinical studies (45) .
DSI000553,interacts_with,D000070,MSKCC,,
DSI000553,interacts_with,D000053,MSKCC,,
DSI000553,interacts_with,D000063,MSKCC,,
DSI007825,interacts_with,D000072,MSKCC,,
DSI007825,interacts_with,D000073,MSKCC,,
DSI005305,interacts_with,D000010,MSKCC,,
DSI005305,interacts_with,D000011,MSKCC,,
DSI002589,interacts_with,D000028,MSKCC,,
DSI002589,interacts_with,D000029,MSKCC,,
DSI002589,interacts_with,D000053,MSKCC,,
DSI002589,interacts_with,D000074,MSKCC,,
DSI002589,interacts_with,D000008,MSKCC,,
DSI003184,interacts_with,D000022,MSKCC,,Diuretics: Animal and human studies suggest dandelion may have additive effects due to its diuretic activity (10) (23) .
DSI003184,interacts_with,D000010,MSKCC,,Hypoglycemics: In vitro and in vivo studies suggest dandelion may have additive effects due to its hypoglycemic property (23) .
DSI003184,interacts_with,D000008,MSKCC,,"Cytochrome P450 (CYP) 1A2, 3A4 substrates: In animal and in vitro studies respectively, dandelion inhibited CYP1A2 (28) and CYP3A4 (20) activities, which may result in altered blood levels of substrate drugs. In addition, a case report of toxic blood levels of immunosuppressive agents was attributed to consumption of tea containing dandelion (19) ."
DSI003184,interacts_with,D000075,MSKCC,,UDP-glucuronosyl transferase (UGT) substrates: Animal studies suggest dandelion induces UGT activity (28) and may increase blood levels of substrate drugs.
DSI005633,interacts_with,D000076,MSKCC,,
DSI005633,interacts_with,D000077,MSKCC,,
DSI005720,interacts_with,D000008,MSKCC,,"Cytochrome P450 enzymes: Devil’s claw root can inhibit CYP1A2/2C8/2C9/2C19/2D6 and 3A4, and may interact with substances metabolized by these enzymes (8) . But conflicting data suggest that the interactions are not clinically relevant (13) ."
DSI005720,interacts_with,D000041,MSKCC,,"P-Glycoprotein (P-gP): Devil’s claw modulates both the activity and expression of P-Gp, and may affect the transport of drugs mediated by this protein (14) . Clinical significance is not known."
DSI007828,interacts_with,D000078,MSKCC,,
DSI007828,interacts_with,D000079,MSKCC,,
DSI007828,interacts_with,D000080,MSKCC,,
DSI007828,interacts_with,D000081,MSKCC,,
DSI001283,interacts_with,D000035,MSKCC,,
DSI005678,interacts_with,D000011,MSKCC,,
DSI005678,interacts_with,D000008,MSKCC,,
DSI005678,interacts_with,D000061,MSKCC,,
DSI005678,interacts_with,D000082,MSKCC,,
DSI000793,interacts_with,D000008,MSKCC,,
DSI000793,interacts_with,D000083,MSKCC,,
DSI000793,interacts_with,D000035,MSKCC,,
DSI000793,interacts_with,D000084,MSKCC,,
DSI000793,interacts_with,D000085,MSKCC,,
DSI000793,interacts_with,D000023,MSKCC,,
DSI000793,interacts_with,D000086,MSKCC,,
DSI000793,interacts_with,D000021,MSKCC,,
DSI001310,interacts_with,D000087,MSKCC,,
DSI001310,interacts_with,D000022,MSKCC,,
DSI001310,interacts_with,D000088,MSKCC,,
DSI003776,interacts_with,D000008,MSKCC,,"Cytochrome P450 substrates: Ellagic acid inhibits cytochrome P450  2A2, 3A1, 2C11, 2B1, 2B2 and 2C6, and can affect the intracellular concentration of drugs metabolized by these enzymes (14) (15) . Clinical relevance is not known."
DSI002496,interacts_with,D000089,MSKCC,,"Clopidogrel: When used concomitantly, E. officinalis extract was found to increase the antiplatelet activity in a study of patients with Type-2 diabetes (22) ."
DSI005737,interacts_with,D000090,MSKCC,,
DSI005737,interacts_with,D000063,MSKCC,,
DSI005737,interacts_with,D000091,MSKCC,,
DSI005737,interacts_with,D000092,MSKCC,,
DSI005770,interacts_with,D000008,MSKCC,,Cytochrome P450 substrates: Prolonged use of Epimedium can induce CYP3A4 through the activation of pregnane X receptor (22) . Clinical relevance is not known.
DSI005770,interacts_with,D000007,MSKCC,,"Aromatase Inhibitors: Icariin enhances the action of aromatase (1) . This may reduce the effect of aromatase inhibitors, like anastrozole, exemestane, and letrozole. Clinical relevance is not known."
DSI002390,interacts_with,D000011,MSKCC,,
DSI002390,interacts_with,D000013,MSKCC,,
DSI002390,interacts_with,D000062,MSKCC,,
DSI000068,interacts_with,D000053,MSKCC,,Warfarin: Case reports indicate that fenugreek may potentiate the effects of warfarin (28) (29) .
DSI000068,interacts_with,D000093,MSKCC,,SSRI antidepressants: A case report suggests supplemental fenugreek may increase the risk for serotonin syndrome (47) .
DSI000068,interacts_with,D000094,MSKCC,,Cyclophosphamide: Animal studies suggest fenugreek may interfere with the cytotoxic effects of cyclophosphamide (25) . Clinical relevance has yet to be determined.
DSI000068,interacts_with,D000063,MSKCC,,Theophylline: Fenugreek altered theophylline bioavailability in an animal model (32) . Clinical relevance has yet to be determined.
DSI005929,interacts_with,D000020,MSKCC,,
DSI005929,interacts_with,D000011,MSKCC,,
DSI000014,interacts_with,D000018,MSKCC,,Anticonvulsants: Concurrent use of folic acid may antagonize the effects of certain anticonvulsants (29) .
DSI000014,interacts_with,D000095,MSKCC,,Black or green tea : Reduced absorption of folic acid in a study of healthy volunteers (64) .
DSI000014,interacts_with,D000096,MSKCC,,Methotrexate: Folic acid can decrease the efficacy of methotrexate used to treat cancer (24) and psoriasis (25) .
DSI000014,interacts_with,D000097,MSKCC,,"Capecitabine: Concurrent use of folic acid at dosage higher than 2000 mg/m2 (maximum tolerated dose) resulted in severe adverse reactions. In one case, capecitabine dose had to be reduced along with discontinuing lipid-lowering agents. In the second case, both capecitabine and folic acid were discontinued, and capecitabine was re-administered after 4 weeks (94) ."
DSI005944,interacts_with,D000016,MSKCC,,
DSI005944,interacts_with,D000011,MSKCC,,
DSI002212,interacts_with,D000011,MSKCC,,
DSI000215,interacts_with,D000034,MSKCC,,
DSI000215,interacts_with,D000000,MSKCC,,
DSI000215,interacts_with,D000098,MSKCC,,
DSI000215,interacts_with,D000013,MSKCC,,
DSI000045,interacts_with,D000053,MSKCC,,Warfarin: Anticoagulant activity may be enhanced due to increased fibrinolytic activity and diminished human platelet aggregation (17) (49) .
DSI000045,interacts_with,D000099,MSKCC,,"Protease inhibitors (darunavir, saquinavir ): In 2 cases of HIV-infected patients, significant interactions between garlic and darunavir resulted in sub-therapeutic DRV plasma concentrations and viral rebound (71) . In one case the patient ingested 15 garlic cloves per week, while in the other the patient could not quantify the amount, but said it was significant. In both patients, drug effectiveness eventually returned with cessation of garlic. In healthy volunteers, garlic supplements with the rough equivalent of two 4-g cloves daily significantly decreased mean serum concentration levels, peak levels by 54%, and trough levels by 49%, which can cause therapeutic failure (18) ."
DSI000045,interacts_with,D000034,MSKCC,,Insulin: Dose of insulin may require adjustment due to hypoglycemic effects of garlic exhibited in animal studies (39) .
DSI000045,interacts_with,D000023,MSKCC,,"P-Glycoprotein substrates: In healthy volunteers, garlic extract induced P-glycoprotein and can interfere with the metabolism of certain drugs (34) ."
DSI007830,interacts_with,D000035,MSKCC,,
DSI003104,interacts_with,D000033,MSKCC,,NSAIDs: Ginger may increase bleeding risk with concomitant use of drugs such as diclofenac or ibuprofen (26) .
DSI003104,interacts_with,D000011,MSKCC,,"Anticoagulants / antiplatelets: Because ginger can inhibit thromboxane formation and platelet aggregation, simultaneous use with anticoagulants may increase bleeding risk (51) , although a systematic review determined that current evidence is inconclusive. Further study is warranted (57) ."
DSI003104,interacts_with,D000010,MSKCC,,Hypoglycemics / insulin: Ginger may cause additive reductions in blood glucose (7) . Clinical relevance is not known.
DSI003104,interacts_with,D000028,MSKCC,,Tacrolimus: Pretreatment with ginger increased plasma levels of tacrolimus (52) . Clinical relevance is not known.
DSI003104,interacts_with,D000065,MSKCC,,Cyclosporine: Concomitant ginger use resulted in decreased blood concentrations of cyclosporine in vivo (54) . Clinical relevance is not known.
DSI003519,interacts_with,D000008,MSKCC,,"Cytochrome P450 substrates: Laboratory studies and a few case reports suggest ginkgo can inhibit and induce the CYP450 1A2, 2D6, and 3A4 enzymes, but data are conflicting (26) (27) (40) (41) (42) (43) . Clinical relevance has yet to be determined."
DSI003519,interacts_with,D000023,MSKCC,,"P-glycoprotein substrates: In healthy volunteers, ginkgo inhibits P-glycoprotein and may interfere with drugs that are transported by P-glycoprotein (44) ."
DSI003519,interacts_with,D000074,MSKCC,,"UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: In vitro, ginkgo modulates UGT enzymes and may increase the side effects of drugs metabolized by them (45) . Clinical relevance has yet to be determined."
DSI003519,interacts_with,D000011,MSKCC,,Anticoagulants / Antiplatelets: Human studies and case reports indicate that ginkgo may induce or prolong bleeding time (36) (47) .
DSI003519,interacts_with,D000033,MSKCC,,Nonsteroidal anti-inflammatory drugs (NSAIDS): Adverse event reports indicate that ginkgo can have additive anticoagulant/antiplatelet effects (48) .
DSI003519,interacts_with,D000100,MSKCC,,Antipsychotics / Prochlorperazine: Case reports suggest ginkgo may cause seizures when combined with medications that lower the seizure threshold (37) .
DSI003519,interacts_with,D000034,MSKCC,,Insulin: Laboratory and human studies suggest ginkgo can alter insulin secretion and affect blood glucose levels (49) (50) .
DSI003519,interacts_with,D000101,MSKCC,,Trazodone: Ginkgo extract was associated with coma in a patient with Alzheimer’s disease who was also taking trazodone (47) .
DSI003519,interacts_with,D000102,MSKCC,,Efavirenz: Case reports suggest ginkgo may inhibit the effects of this drug (43) (51) .
DSI003519,interacts_with,D000103,MSKCC,,Midazolam: A study in healthy subjects suggests ginkgo may decrease serum concentrations (52) .
DSI003519,interacts_with,D000076,MSKCC,,Amlodipine: Animal studies suggest that a multiherbal formula containing ginkgo could inhibit the metabolism of amlodipine (53) . Clinical relevance has yet to be determined.
DSI003519,interacts_with,D000028,MSKCC,,Tacrolimus: Concurrent use of ginkgo inhibited metabolism of tacrolimus in a preclinical study. Clinical relevance is not known (60) .
DSI000074,interacts_with,D000053,MSKCC,,
DSI000074,interacts_with,D000020,MSKCC,,
DSI000074,interacts_with,D000030,MSKCC,,
DSI000074,interacts_with,D000082,MSKCC,,
DSI000074,interacts_with,D000011,MSKCC,,
DSI000074,interacts_with,D000104,MSKCC,,
DSI000074,interacts_with,D000105,MSKCC,,
DSI006073,interacts_with,D000020,MSKCC,,
DSI000007,interacts_with,D000053,MSKCC,,"Warfarin: Although more information is needed to define this interaction, glucosamine-chondroitin may potentiate warfarin effects and increase INR levels (22) ."
DSI000007,interacts_with,D000011,MSKCC,,Anticoagulants/Antiplatelets: Use of glucosamine may inhibit platelet aggregation (23) .
DSI000158,interacts_with,D000106,MSKCC,,
DSI000158,interacts_with,D000096,MSKCC,,
DSI006060,interacts_with,D000027,MSKCC,,
DSI006060,interacts_with,D000107,MSKCC,,
DSI004644,interacts_with,D000011,MSKCC,,"Anticoagulants / antiplatelets: In vitro, grape seed has antiplatelet activity, and may increase the risk of adverse effects of these drugs (1) (19) . Clinical relevance has yet to be determined."
DSI004644,interacts_with,D000020,MSKCC,,"CYP3A4 substrates: In vitro, GSE inhibits CYP3A4 and may affect the intracellular concentration of drugs metabolized by this enzyme (18) . Clinical relevance has yet to be determined."
DSI001261,interacts_with,D000087,MSKCC,,
DSI001261,interacts_with,D000016,MSKCC,,
DSI000063,interacts_with,D000017,MSKCC,,
DSI000063,interacts_with,D000037,MSKCC,,
DSI006070,interacts_with,D000020,MSKCC,,
DSI004616,interacts_with,D000011,MSKCC,,"Antiplatelets, anticoagulants: An in vitro study suggests hawthorn flowers may inhibit thromboxane A2 biosynthesis, which may increase the side effects of these drugs. Although clinical relevance has yet to be determined, patients taking heart failure medications should not use hawthorn without being closely monitored by the treating physician (30) (33) ."
DSI004616,interacts_with,D000091,MSKCC,,"Digoxin: In vitro data suggest hawthorn contains alkaloids that are structurally similar to digoxin and may interfere with its action (16) . However, hawthorn was safely coadministered at a specified dose in a small randomized, crossover trial of healthy volunteers (34) . As clinical relevance has yet to be determined, any use of this supplement should be under the guidance of the treating physician."
DSI004616,interacts_with,D000020,MSKCC,,CYP3A4 substrates: In vitro studies suggest hawthorn may affect the metabolism of these drugs at it induces CYP3A4 by activating pregnane X receptor (19) . Clinical relevance has yet to be determined.
DSI007833,interacts_with,D000001,MSKCC,,
DSI007834,interacts_with,D000060,MSKCC,,
DSI006232,interacts_with,D000020,MSKCC,,
DSI006181,interacts_with,D000008,MSKCC,,
DSI006181,interacts_with,D000108,MSKCC,,
DSI006225,interacts_with,D000011,MSKCC,,"Anticoagulants / antiplatelets: Horse chestnut may have additive effects due to aesculin, a hydroxycoumarin (9) ."
DSI007835,interacts_with,D000109,MSKCC,,
DSI007835,interacts_with,D000011,MSKCC,,
DSI000756,interacts_with,D000110,MSKCC,,
DSI000756,interacts_with,D000111,MSKCC,,
DSI000756,interacts_with,D000112,MSKCC,,
DSI007838,interacts_with,D000013,MSKCC,,
DSI003257,interacts_with,D000113,MSKCC,,Cytochrome P450 1A2 substrates: Laboratory studies suggest I3C induces CYP 1A2 (14) (62) . Clinical relevance has yet to be determined.
DSI000882,interacts_with,D000114,MSKCC,,
DSI000882,interacts_with,D000011,MSKCC,,
DSI001172,interacts_with,D000010,MSKCC,,Hypoglycemic agents: IPT may potentiate their effects.
DSI000660,interacts_with,D000087,MSKCC,,
DSI003545,interacts_with,D000013,MSKCC,,
DSI007839,interacts_with,D000012,MSKCC,,
DSI006361,interacts_with,D000115,MSKCC,,
DSI006361,interacts_with,D000116,MSKCC,,
DSI006361,interacts_with,D000057,MSKCC,,
DSI006361,interacts_with,D000117,MSKCC,,
DSI006345,interacts_with,D000023,MSKCC,,"P-glycoprotein substrates: Mitragynine inhibits P-gp in vitro, and concurrent administration with psychoactive drugs that are P-gp substrates may cause significant toxicity (52) ."
DSI003263,interacts_with,D000035,MSKCC,,"Tamoxifen: Human and animal studies suggest that kudzu has some estrogenic activity (5) (10) (11) . Therefore, it may antagonize the effects of tamoxifen, although clinical relevance has yet to be determined."
DSI003263,interacts_with,D000096,MSKCC,,"Methotrexate: In animal models, coadministration of a root decoction of kudzu reduced the elimination of methotrexate, resulting in increased methotrexate levels (17) ."
DSI003263,interacts_with,D000087,MSKCC,,Antidiabetic drugs: Animal models suggest puerarin also has antihyperglycemic effects (14) . Clinical relevance has yet to be determined.
DSI003263,interacts_with,D000118,MSKCC,,"CYP2D6 substrate drugs: In vitro, puerarin inhibited activity of CYP2D6 and can alter the metabolism of these drugs (15) . Clinical relevance has yet to be determined."
DSI003263,interacts_with,D000113,MSKCC,,"CYP1A2 substrate drugs: In vitro, puerarin induced CYP1A2 and may affect the metabolism of some of these drugs (15) . Clinical relevance has yet to be determined."
DSI003389,interacts_with,D000057,MSKCC,,
DSI003389,interacts_with,D000119,MSKCC,,
DSI006375,interacts_with,D000120,MSKCC,,"Glutathione-S-transferase (GST) drugs: Citral, found in lemongrass essential oil, was shown to induce GST (9) ."
DSI006405,interacts_with,D000121,MSKCC,,
DSI000230,interacts_with,D000087,MSKCC,,Insulin and other antidiabetic medications: Leucine can stimulate insulin secretion and may have additive hypoglycemic effects (8) (43) .
