ingredient_id,ingredient,condition_id,condition,canonical_condition_id,canonical_condition,relationship,evidence,dose,pmids,source,source_url
omega-3,Omega-3 (EPA/DHA),joint-pain,Joint Pain,joint-pain,Joint Pain,reviewed-on-site,,,17335973; 22835600; 28067815,site-page,/omega-3/best-for-joint-pain/
omega-3,Omega-3 (EPA/DHA),pcos,Pcos,pcos,Pcos,reviewed-on-site,,,,condition-protocol,/conditions/pcos/
omega-3,Omega-3 (EPA/DHA),stress,Stress,stress,Stress,reviewed-on-site,,,23439798; 28445426; 31623400,condition-protocol,/conditions/stress/
omega-3,Omega-3 (EPA/DHA),triglycerides,Triglycerides,triglycerides,Triglycerides,reviewed-on-site,,,30415628; 34172393; 36313109,site-page,/omega-3/best-for-triglycerides/
probiotics,Probiotics,antibiotic-associated,Antibiotic Associated,antibiotic-associated,Antibiotic Associated,therapeutic-dose,,10-20 billion CFU,,evidence-engine.clinical_doses,
probiotics,Probiotics,antibiotic-diarrhea,Antibiotic Diarrhea,antibiotic-diarrhea,Antibiotic Diarrhea,reviewed-on-site,,,25745995; 26216624; 8149426,site-page,/probiotics/best-for-antibiotic-diarrhea/
probiotics,Probiotics,bloating,Bloating,bloating,Bloating,reviewed-on-site,,,16863564; 24825775; 24100754; 25070051,site-page,/probiotics/best-for-bloating/
probiotics,Probiotics,ibs,Ibs,ibs,Ibs,therapeutic-dose,,10-50 billion CFU,,evidence-engine.clinical_doses,
probiotics,Probiotics,ibs,Ibs,ibs,Ibs,reviewed-on-site,,,16863564; 24825775; 19927012,site-page,/probiotics/best-for-ibs/
probiotics,Probiotics,immune,Immune,immune-support,Immune Support,therapeutic-dose,,10-20 billion CFU,19240660,evidence-engine.clinical_doses,
probiotics,Probiotics,immune-support,Immune Support,immune-support,Immune Support,reviewed-on-site,,,19240660; 18536871; 28202713; 28515951; 27378206; 23440782; 25927096,site-page,/probiotics/best-for-immune-support/
probiotics,Probiotics,travel,Travel,travel,Travel,reviewed-on-site,,,17298915,site-page,/probiotics/best-for-travel/
